2
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 9.94 -53.27 0 -9.94)_mu=0_STABLE=0-1.06(seg=0.00).png,-80.976651,-0.000000,15.114552,-80.976651,0.000000,-15.114552
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 9.94 -53.27 0 -9.94)_mu=0_STABLE=0-1.06(seg=1.50).png,-213.096450,-0.000000,39.775137,-213.096450,0.000000,-39.775137
0,-53.2741125962436,2.05115122749091e-12,9.94378432431075,-53.2741125962436,-2.05115122749091e-12,-9.94378432431075,0
0.01,-54.3395949248228,-1.09271087200304e-08,10.1426600233502,-54.3395949248228,1.09271087126578e-08,-10.1426600233502,0
0.02,-55.405077172163,-1.0327347832375e-08,10.341535709087,-55.405077172163,1.03273394315428e-08,-10.341535709087,0
0.03,-56.470559419861,-9.77034455380485e-09,10.5404113948823,-56.470559419861,9.77034614367892e-09,-10.5404113948823,0
0.04,-57.5360416678824,-9.25274415333049e-09,10.7392870807303,-57.5360416678824,9.25274327556042e-09,-10.7392870807303,0
0.05,-58.601523916197,-8.77074345269346e-09,10.9381627666262,-58.601523916197,8.77076545939548e-09,-10.9381627666262,0
0.06,-59.6670061647779,-8.3216143156005e-09,11.1370384525655,-59.6670061647779,8.3216142791713e-09,-11.1370384525655,0
0.07,-60.7324884136009,-7.90242240655131e-09,11.3359141385444,-60.7324884136009,7.9024223978777e-09,-11.3359141385444,0
0.08,-61.7979706626446,-7.51086310811153e-09,11.5347898245593,-61.7979706626446,7.5108631540817e-09,-11.5347898245593,0
0.09,-62.8634529118898,-7.14468545827754e-09,11.7336655106071,-62.8634529118898,7.14468546001226e-09,-11.7336655106071,0
0.1,-63.9289351613191,-6.80178691321587e-09,11.932541196685,-63.9289351613191,6.80178690367489e-09,-11.932541196685,0
0.11,-64.994417410917,-6.48036395291957e-09,12.1314168827904,-64.994417410917,6.48035168235306e-09,-12.1314168827904,0
0.12,-66.0598996606696,-6.17890519045289e-09,12.3302925689211,-66.0598996606696,6.17892413840374e-09,-12.3302925689211,0
0.13,-67.1253819105642,-5.89574958775527e-09,12.529168255075,-67.1253819105642,5.89576403930286e-09,-12.529168255075,0
0.14,-68.1908641605894,-5.62944634917989e-09,12.7280439412502,-68.1908641605894,5.62946076798458e-09,-12.7280439412502,0
0.15,-69.256346410735,-5.37903331750654e-09,12.9269196274451,-69.256346410735,5.37903643155202e-09,-12.9269196274451,0
0.16,-70.3218286609914,-5.14308405477441e-09,13.1257953136582,-70.3218286609915,5.14307129198012e-09,-13.1257953136582,0
0.17,-71.3873109113504,-4.92066730092312e-09,13.324670999888,-71.3873109113504,4.92066363957239e-09,-13.324670999888,0
0.18,-72.452793161804,-4.71086381904386e-09,13.5235466861333,-72.452793161804,4.71089079724651e-09,-13.5235466861333,0
0.19,-73.5182754123453,-4.51281776552882e-09,13.7224223723929,-73.5182754123453,4.51281903903269e-09,-13.7224223723929,0
0.2,-74.5837576629678,-4.32548705273789e-09,13.9212980586658,-74.5837576629678,4.32551788961608e-09,-13.9212980586658,0
0.21,-75.6492399136657,-4.14855551690921e-09,14.120173744951,-75.6492399136657,4.14853610405247e-09,-14.120173744951,0
0.22,-76.7147221644336,-3.98093658775592e-09,14.3190494312477,-76.7147221644336,3.98090501730654e-09,-14.3190494312477,0
0.23,-77.7802044152667,-3.82225521394254e-09,14.517925117555,-77.7802044152667,3.82227797394823e-09,-14.517925117555,0
0.24,-78.8456866661602,-3.67185032097532e-09,14.7168008038723,-78.8456866661602,3.67186854012547e-09,-14.7168008038723,0
0.25,-79.9111689171102,-3.52917500627027e-09,14.9156764901987,-79.9111689171102,3.52917481133072e-09,-14.9156764901987,0
0.26,-80.9766511681129,-3.39372126321319e-09,15.1145521765338,-80.9766511681129,3.39372919306788e-09,-15.1145521765338,0
0.27,-82.0421334191647,-3.26519786339116e-09,15.3134278628769,-82.0421334191647,3.265214291873e-09,-15.3134278628769,0
0.28,-83.1076156702624,-3.14296908551087e-09,15.5123035492276,-83.1076156702624,3.14294910583324e-09,-15.5123035492276,0
0.29,-84.173097921403,-3.02671386781875e-09,15.7111792355852,-84.173097921403,3.02681390563532e-09,-15.7111792355852,0
0.3,-85.2385801725838,-2.9161834143223e-09,15.9100549219495,-85.2385801725838,2.91608302175478e-09,-15.9100549219495,0
0.31,-86.3040624238023,-2.8107112910996e-09,16.1089306083199,-86.3040624238022,2.81073903930264e-09,-16.1089306083199,0
0.32,-87.369544675056,-2.71043039509929e-09,16.3078062946961,-87.369544675056,2.71045772241504e-09,-16.3078062946961,0
0.33,-88.4350269263429,-2.61479571567018e-09,16.5066819810777,-88.4350269263429,2.61480329077392e-09,-16.5066819810777,0
0.34,-89.5005091776609,-2.52350965926525e-09,16.7055576674644,-89.5005091776609,2.52354624176443e-09,-16.7055576674644,0
0.35,-90.5659914290081,-2.4364559324079e-09,16.9044333538559,-90.5659914290081,2.4364551290141e-09,-16.9044333538559,0
0.36,-91.6314736803828,-2.35358396357202e-09,17.1033090402518,-91.6314736803829,2.35338874776669e-09,-17.1033090402519,0
0.37,-92.6969559317835,-2.27399509400601e-09,17.3021847266521,-92.6969559317834,2.27397136971091e-09,-17.3021847266521,0
0.38,-93.7624381832085,-2.19817111691764e-09,17.5010604130563,-93.7624381832085,2.19815389198089e-09,-17.5010604130563,0
0.39,-94.8279204346564,-2.12546961584834e-09,17.6999360994643,-94.8279204346564,2.12550549361611e-09,-17.6999360994643,0
0.4,-95.8934026861261,-2.0559639748053e-09,17.8988117858759,-95.8934026861261,2.05595099972422e-09,-17.8988117858759,0
0.41,-96.9588849376161,-1.98950732472648e-09,18.0976874722907,-96.9588849376161,1.98947793569187e-09,-18.0976874722907,0
0.42,-98.0243671891255,-1.92585459450438e-09,18.2965631587088,-98.0243671891255,1.9258657914939e-09,-18.2965631587088,0
0.43,-99.0898494406532,-1.86489985997199e-09,18.4954388451299,-99.0898494406532,1.86487580824783e-09,-18.4954388451299,0
0.44,-100.155331692198,-1.80641512143552e-09,18.6943145315537,-100.155331692198,1.80633949378034e-09,-18.6943145315537,0
0.45,-101.220813943759,-1.75008191076985e-09,18.8931902179803,-101.220813943759,1.75016736780192e-09,-18.8931902179803,0
0.46,-102.286296195336,-1.69638922028516e-09,19.0920659044094,-102.286296195336,1.69651665046962e-09,-19.0920659044093,0
0.47,-103.351778446928,-1.64482789801607e-09,19.2909415908409,-103.351778446928,1.64481000390973e-09,-19.2909415908409,0
0.48,-104.417260698533,-1.59522025168328e-09,19.4898172772746,-104.417260698533,1.59519262859717e-09,-19.4898172772746,0
0.49,-105.482742950151,-1.54743589947035e-09,19.6886929637106,-105.482742950151,1.54746037620175e-09,-19.6886929637106,0
0.5,-106.548225201782,-1.50168466875843e-09,19.8875686501486,-106.548225201782,1.50158005864445e-09,-19.8875686501486,0
0.51,-107.613707453425,-1.45772492839667e-09,20.0864443365885,-107.613707453425,1.45770845502886e-09,-20.0864443365885,0
0.52,-108.679189705079,-1.41529032894258e-09,20.2853200230302,-108.679189705079,1.41522999807901e-09,-20.2853200230303,0
0.53,-109.744671956744,-1.3744906983415e-09,20.4841957094738,-109.744671956744,1.37445362426505e-09,-20.4841957094738,0
0.54,-110.810154208419,-1.33533013921446e-09,20.683071395919,-110.810154208419,1.33522204469154e-09,-20.683071395919,0
0.55,-111.875636460104,-1.29753590120615e-09,20.8819470823658,-111.875636460104,1.29753949837212e-09,-20.8819470823658,0
0.56,-112.941118711798,-1.26092557358945e-09,21.0808227688142,-112.941118711798,1.26106735449071e-09,-21.0808227688142,0
0.57,-114.006600963501,-1.22601851023849e-09,21.2796984552639,-114.006600963501,1.22588962136842e-09,-21.279698455264,0
0.58,-115.072083215212,-1.19203684748569e-09,21.4785741417151,-115.072083215212,1.19204373390421e-09,-21.4785741417151,0
0.59,-116.137565466931,-1.15952269444039e-09,21.6774498281676,-116.137565466931,1.1595437615728e-09,-21.6774498281676,0
0.6,-117.203047718658,-1.12782908424751e-09,21.8763255146213,-117.203047718658,1.12800498650902e-09,-21.8763255146212,0
0.61,-118.268529970392,-1.09775987237014e-09,22.0752012010761,-118.268529970392,1.0976876770822e-09,-22.0752012010762,0
0.62,-119.334012222133,-1.06822361655053e-09,22.2740768875322,-119.334012222133,1.06828100337152e-09,-22.2740768875322,0
0.63,-120.39949447388,-1.04020514250791e-09,22.4729525739894,-120.39949447388,1.04009344236225e-09,-22.4729525739894,0
0.64,-121.464976725634,-1.0128227345349e-09,22.6718282604475,-121.464976725634,1.01271183778305e-09,-22.6718282604475,0
0.65,-122.530458977394,-9.86329168296482e-10,22.8707039469067,-122.530458977394,9.86425170712568e-10,-22.8707039469067,0
0.66,-123.59594122916,-9.60897586109108e-10,23.0695796333668,-123.59594122916,9.61046903299664e-10,-23.0695796333668,0
0.67,-124.661423480932,-9.36298593344487e-10,23.2684553198278,-124.661423480932,9.36450737266947e-10,-23.2684553198278,0
0.68,-125.726905732708,-9.12874412780512e-10,23.4673310062896,-125.726905732708,9.12645937121981e-10,-23.4673310062897,0
0.69,-126.79238798449,-8.89676127257058e-10,23.6662066927523,-126.79238798449,8.8960929421622e-10,-23.6662066927523,0
0.7,-127.857870236277,-8.67577312074763e-10,23.8650823792158,-127.857870236276,8.67502976788573e-10,-23.8650823792158,0
0.71,-128.923352488068,-8.46133537367455e-10,24.06395806568,-128.923352488068,8.46129796002598e-10,-24.06395806568,0
