1
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -91.66 53.58 13.39)_mu=0_UNSTABLE(seg=0.00).png,-61.839694,6.179944,-9.681617,-101.991672,58.380327,16.959525
0,-53.274112596242,-2.94701017476795e-11,-9.9437843243175,-91.6622568334275,53.575284889714,13.3938212224614,1
0.01,-53.8232271768204,0.504332246286494,-9.91783176218058,-92.5736874036582,54.0987727703131,13.7177537648458,1
0.02,-54.4044815041117,1.00918119039301,-9.89310798012952,-93.4749412625494,54.5981882332662,14.0358619401171,1
0.03,-55.0170401777343,1.51503006762244,-9.8694521437458,-94.3663244946941,55.0741665836149,14.3484855198958,1
0.04,-55.6601593774981,2.02233042909265,-9.84671248818948,-95.2481370690268,55.5272790243719,14.6559361523796,1
0.05,-56.3331774048007,2.53150682385274,-9.82474500810035,-96.1206722679979,55.9580386445247,14.9585004546075,1
0.06,-57.0355063288239,3.04296086942017,-9.80341226205564,-96.9842162215658,56.3669053291428,15.2564426656131,1
0.07,-57.76662462883,3.55707483162276,-9.78258228078175,-97.8390474512669,56.7542899186023,15.5500069304663,1
0.08,-58.5260707006534,4.0742148048359,-9.76212756109074,-98.6854364207673,57.1205577280181,15.8394192727109,1
0.09,-59.3134371158712,4.59473356809493,-9.74192412959301,-99.5236450871148,57.4660315158039,16.1248893021829,1
0.1,-60.1283655393256,5.11897318052755,-9.72185066187916,-100.353926445375,57.790993972487,16.4066116967671,1
0.11,-60.9705422252811,5.64726737029579,-9.70178764412726,-101.176524058206,58.0956897863865,16.6847674898542,1
0.12,-61.8396940250073,6.17994376421341,-9.68161656501439,-101.991671560937,58.3803273307853,16.9595251897374,1
0.13,-62.7355848494035,6.71732599997744,-9.66121912642962,-102.799592131814,58.6450800071071,17.2310417526536,1
0.14,-63.6580125397601,7.25973575924627,-9.64047646181094,-103.600497916054,58.8900872698912,17.499463427434,1
0.15,-64.6068061081901,7.80749475739673,-9.61926835096824,-104.394589391201,59.115455351624,17.7649264865936,1
0.16,-65.5818233169149,8.36092672458296,-9.59747242000341,-105.182054659858,59.3212576984004,18.027557856047,1
0.17,-66.5829485727023,8.92035941263295,-9.57496331437459,-105.96306865413,59.5075351206589,18.2874756533645,1
0.18,-67.6100911195508,9.48612666335691,-9.55161183224561,-106.737792233943,59.6742956565543,18.5447896425051,1
0.19,-68.6631835194324,10.0585705760636,-9.52728400396035,-107.506371158689,59.8215141386628,18.7996016111898,1
0.2,-69.7421804177715,10.6380438156041,-9.5018401017187,-108.268934908268,59.949131447299,19.0520056754581,1
0.21,-70.847057597633,11.2249121072895,-9.47513356120726,-109.025595325343,60.0570534254842,19.3020885144145,1
0.22,-71.977811334609,11.8195569718443,-9.4470097939244,-109.776445045343,60.1451494210967,19.5499295366534,1
0.23,-73.134458073508,12.422378762563,-9.41730486506163,-110.521555673999,60.2132504104889,19.7956009783041,1
0.24,-74.31703445862,13.0338000785774,-9.38584400682582,-111.260975663796,60.2611466442345,20.0391679309708,1
0.25,-75.5255977621455,13.6542696433973,-9.35243993069043,-111.994727829884,60.2885847388566,20.2806882959882,1
0.26,-76.7602267711069,14.2842667576508,-9.31689089381878,-112.722806432268,60.2952641173134,20.5202126592587,1
0.27,-78.021023212742,14.9243064606925,-9.27897846421492,-113.445173733216,60.2808326741891,20.7577840783531,1
0.28,-79.3081138234151,15.5749455693891,-9.23846491521213,-114.161755915718,60.2448815069845,20.9934377703549,1
0.29,-80.6216531984253,16.236789806727,-9.19509016156307,-114.87243821832,60.1869385098109,21.2272006848775,1
0.3,-81.9618276024599,16.9105022917845,-9.14856812503372,-115.577059101272,60.1064605662569,21.4590909414295,1
0.31,-83.3288599767556,17.5968137416509,-9.09858238472103,-116.275403204631,60.0028239986101,21.6891171033631,1
0.32,-84.7230164549193,18.2965348431762,-9.04478092294997,-116.967192785261,59.8753128228626,21.9172772513203,1
0.33,-86.1446148031634,19.01057139991,-8.98676971662556,-117.65207721816,59.7231042110354,22.1435578063448,1
0.34,-87.5940353448997,19.739943065153,-8.92410483890485,-118.32962000582,59.5452503564048,22.3679320351144,1
0.35,-89.0717351332812,20.4858067630366,-8.85628261570424,-118.999282538314,59.3406556458585,22.5903581447078,1
0.36,-90.5782664281084,21.2494863185318,-8.7827272082565,-119.660403556756,59.1080476242261,22.8107768382628,1
0.37,-92.114300962932,22.032510432086,-8.70277473862329,-120.312172846261,58.8459396201884,23.0291081499484,1
0.38,-93.6806621316406,22.8366620558904,-8.61565269398767,-120.953597044116,58.5525819815442,23.2452472982823,1
0.39,-95.2783682114342,23.6640436422423,-8.52045276091656,-121.583454464281,58.2258974534667,23.4590591748956,1
0.4,-96.9086912961809,24.517164961279,-8.41609431983556,-122.200234285268,57.8633940056687,23.670370893544,1
0.41,-98.5732468197525,25.3991255140437,-8.30126391166748,-122.802031591722,57.4620407495274,23.8789613232129,1
0.42,-100.27407232714,26.3134850878996,-8.17439252329823,-123.386531879509,57.0181107981053,24.0845466258073,1
0.43,-102.013871453578,27.2650941579505,-8.03346522151822,-123.950642186915,56.526925455045,24.2867605753386,1
0.44,-103.796194796273,28.2598915159027,-7.87595023567831,-124.490426102,55.9824834166299,24.4851200673184,1
0.45,-105.625878125007,29.3057606837797,-7.69852240019161,-125.000608834508,55.376892400936,24.6789775444257,1
0.46,-107.509694777998,30.4134205043267,-7.49667908898954,-125.473934538312,54.699421806459,24.8674388848649,1
0.47,-109.457513981314,31.5980791507968,-7.2640563325342,-125.900007430465,53.9348494804269,25.0492203795743,1
0.48,-111.484509532121,32.8825781095748,-6.99112938622135,-126.263082814878,53.0603183589244,25.2223762897361,1
0.49,-113.61588124254,34.3040927139952,-6.6624443880779,-126.537345425179,52.0386358008646,25.383716997678,1
0.5,-115.89883565921,35.931091409803,-6.24961485384653,-126.674932738196,50.8013287835682,25.5273345261231,1
0.51,-118.442878925795,37.9201536244119,-5.68786429999466,-126.565632554171,49.1917868650635,25.6396471234859,1
0.52,-121.690226762643,40.89604895934,-4.71919260247727,-125.76649154183,46.5852445156426,25.6661998877527,1
