2
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=0.00).png,-80.976651,0.000000,-15.114552,-80.976651,-0.000000,15.114552
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=1.51).png,-214.161933,0.000000,-39.974013,-214.161933,-0.000000,39.974013
0,-53.2741125962531,-6.60693652811131e-11,-9.94378432432795,-53.2741125962531,6.60693652811131e-11,9.94378432432795,0
0.01,-54.3395949248326,1.08620424633943e-08,-10.1426600233677,-54.3395949248326,-1.08620424594912e-08,10.1426600233677,0
0.02,-55.405077172173,1.02611272998453e-08,-10.3415357091049,-55.405077172173,-1.02611272911717e-08,10.3415357091049,0
0.03,-56.4705594198712,9.70318208377494e-09,-10.5404113949004,-56.4705594198712,-9.7031764285764e-09,10.5404113949004,0
0.04,-57.5360416678929,9.18413544260394e-09,-10.7392870807488,-57.5360416678929,-9.18412518995451e-09,10.7392870807488,0
0.05,-58.6015239162077,8.70105757019499e-09,-10.9381627666449,-58.6015239162077,-8.70107968141409e-09,10.9381627666449,0
0.06,-59.6670061647888,8.25076353506288e-09,-11.1370384525846,-59.6670061647888,-8.25077779275513e-09,11.1370384525846,0
0.07,-60.732488413612,7.8304440696321e-09,-11.3359141385638,-60.732488413612,-7.83045990505535e-09,11.3359141385638,0
0.08,-61.797970662656,7.43770847688729e-09,-11.534789824579,-61.797970662656,-7.43772521436675e-09,11.534789824579,0
0.09,-62.8634529119013,7.07021343771333e-09,-11.7336655106271,-62.8634529119013,-7.07022723136705e-09,11.7336655106271,0
0.1,-63.9289351613308,6.72591664351366e-09,-11.9325411967054,-63.9289351613308,-6.72589585849065e-09,11.9325411967054,0
0.11,-64.9944174109289,6.40333203518265e-09,-12.1314168828111,-64.9944174109289,-6.40335787172042e-09,12.1314168828111,0
0.12,-66.0598996606816,6.10057423501564e-09,-12.3302925689421,-66.0598996606816,-6.10054328234466e-09,12.3302925689421,0
0.13,-67.1253819105765,5.81606229713497e-09,-12.5291682550964,-67.1253819105765,-5.81605002440005e-09,12.5291682550964,0
0.14,-68.1908641606018,5.54853667547074e-09,-12.7280439412719,-68.1908641606018,-5.54851781468975e-09,12.7280439412719,0
0.15,-69.2563464107475,5.29669912617547e-09,-12.9269196274672,-69.2563464107475,-5.29669884580079e-09,12.9269196274672,0
0.16,-70.3218286610042,5.05944962835014e-09,-13.1257953136806,-70.3218286610042,-5.0594613639713e-09,13.1257953136806,0
0.17,-71.3873109113632,4.83561482023977e-09,-13.3246709999107,-71.3873109113632,-4.83563575835212e-09,13.3246709999107,0
0.18,-72.4527931618169,4.62426425363455e-09,-13.5235466861563,-72.4527931618169,-4.6242470137358e-09,13.5235466861563,0
0.19,-73.5182754123583,4.4249977477779e-09,-13.7224223724163,-73.5182754123583,-4.42498377479714e-09,13.7224223724163,0
0.2,-74.5837576629809,4.23658142270113e-09,-13.9212980586895,-74.5837576629809,-4.23656458482455e-09,13.9212980586895,0
0.21,-75.6492399136789,4.05824795079654e-09,-14.1201737449751,-75.6492399136789,-4.05819669860828e-09,14.1201737449751,0
0.22,-76.7147221644468,3.88939489425963e-09,-14.3190494312721,-76.7147221644468,-3.88939068950676e-09,14.3190494312721,0
0.23,-77.7802044152799,3.7293513967078e-09,-14.5179251175798,-77.7802044152799,-3.7293248500176e-09,14.5179251175798,0
0.24,-78.8456866661735,3.5777219019404e-09,-14.7168008038974,-78.8456866661735,-3.57771098142244e-09,14.7168008038974,0
0.25,-79.9111689171236,3.43395850925694e-09,-14.9156764902242,-79.9111689171236,-3.43395945034443e-09,14.9156764902242,0
0.26,-80.9766511681264,3.29751564422109e-09,-15.1145521765596,-80.9766511681263,-3.29751585520684e-09,15.1145521765596,0
0.27,-82.0421334191781,3.16763244432271e-09,-15.313427862903,-82.0421334191781,-3.16764742951461e-09,15.313427862903,0
0.28,-83.1076156702758,3.04452436612063e-09,-15.512303549254,-83.1076156702758,-3.04447604474768e-09,15.512303549254,0
0.29,-84.1730979214165,2.92730145375411e-09,-15.711179235612,-84.1730979214165,-2.92731369678188e-09,15.711179235612,0
0.3,-85.2385801725973,2.81572290201752e-09,-15.9100549219765,-85.2385801725973,-2.81573224935813e-09,15.9100549219765,0
0.31,-86.3040624238159,2.70911012373309e-09,-16.1089306083473,-86.3040624238159,-2.70922029818946e-09,16.1089306083473,0
0.32,-87.3695446750696,2.60780889677764e-09,-16.3078062947238,-87.3695446750696,-2.6078734250215e-09,16.3078062947238,0
