1
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -91.66 -53.58 -13.39)_mu=0_UNSTABLE(seg=0.00).png,-61.839694,-6.179944,-12.771588,-101.991672,-58.380327,-12.230638
0,-53.274112596242,-2.94701017476795e-11,-9.9437843243175,-91.6622568334275,-53.575284889714,-13.3938212224614,1
0.01,-53.8232271435891,-0.504332220372411,-10.169997875445,-92.5736876819472,-54.0987727680498,-13.3316325633872,1
0.02,-54.4044814668803,-1.00918117010067,-10.3976985648696,-93.4749415124628,-54.5981882380047,-13.2632321256159,1
0.03,-55.0170401363533,-1.51503005171459,-10.6269671664645,-94.3663247236924,-55.0741665943583,-13.1885977254008,1
0.04,-55.6601593316454,-2.02233041673126,-10.8578776909013,-95.2481372828765,-55.5272790405596,-13.1077033164056,1
0.05,-56.3331773539973,-2.53150681448522,-11.0904984073034,-96.1206724712358,-55.9580386659084,-13.0205188263324,1
0.06,-57.0355062724412,-3.04296086270564,-11.324892682968,-96.9842164178228,-56.3669053557027,-12.9270099588518,1
0.07,-57.7666245660901,-3.55707482738565,-11.5611196814967,-97.8390476434957,-56.7542899504897,-12.8271379891944,1
0.08,-58.5260706306259,-4.0742148030376,-11.7992349468485,-98.6854366114027,-57.12055776551,-12.7208595514421,1
0.09,-59.3134370374653,-4.5947335688191,-12.0392908951071,-99.523645278183,-57.4660315592745,-12.6081264150038,1
0.1,-60.1283654512807,-5.11897318397436,-12.2813372313782,-100.353926638567,-57.7909940223731,-12.4888852472666,1
0.11,-60.9705421261564,-5.64726737678438,-12.5254213058677,-101.176524254923,-58.095689843157,-12.3630773589839,1
0.12,-61.8396939131703,-6.17994377419187,-12.771588420601,-101.991671762315,-58.3803273949083,-12.2306384284674,1
0.13,-62.7355847230189,-6.71732601403953,-13.0198820962527,-102.799592338736,-58.6450800790135,-12.0914982001356,1
0.14,-63.6580123967797,-7.25973577815497,-13.2703443070227,-103.600498129143,-58.890087349934,-11.9455801523511,1
0.15,-64.606805946344,-7.80749478211819,-13.5230156903391,-104.394589610811,-59.1154554400279,-11.7928011287468,1
0.16,-65.581823133706,-8.36092675632744,-13.7779357373085,-105.182054886051,-59.3212577952065,-11.63307092634,1
0.17,-66.582948365403,-8.92035945290903,-14.0351429692308,-105.963068886652,-59.5075352256566,-11.466291832641,1
0.18,-67.610090885206,-9.48612671403907,-14.2946751051047,-106.737792472189,-59.674295769206,-11.2923581026059,1
0.19,-68.6631832548663,-10.0585706394778,-14.5565692248635,-107.506371401671,-59.821514258014,-11.1111553646125,1
0.2,-69.7421801196023,-10.6380438946331,-14.8208619330763,-108.268935154569,-59.9491315718759,-10.922559942558,1
0.21,-70.8470572622962,-11.2249122055058,-15.0875895280414,-109.02559557308,-60.0570535531744,-10.7264380785929,1
0.22,-71.9778109583912,-11.8195570936746,-15.3567881815941,-109.776445292109,-60.1451495490126,-10.5226450377653,1
0.23,-73.1344576525941,-12.4223789134923,-15.628494135571,-110.521555916817,-60.2132505348072,-10.3110240717767,1
0.24,-74.3170339891563,-13.0338002654036,-15.9027439217739,-111.260975899047,-60.2611467600093,-10.0914052139062,1
0.25,-75.5255972403239,-13.6542698745484,-16.1795746134997,-111.99472805324,-60.2885848397988,-9.86360387060742,1
0.26,-76.7602261932746,-14.2842670435818,-16.4590241183442,-112.722806638597,-60.2952641955289,-9.62741916689755,1
0.27,-78.0210225755439,-14.9243068143833,-16.7411315241695,-113.445173916474,-60.2808327198623,-9.38263199183306,1
0.28,-79.3081131239798,-15.5749460069737,-17.0259375130019,-114.161756068805,-60.2448815079947,-9.12900267628376,1
0.29,-80.6216524346057,-16.2367903482932,-17.313484861446,-114.872438332895,-60.1869384512588,-8.86626821672766,1
0.3,-81.9618267731483,-16.9105029623951,-17.6038190512908,-115.577059167505,-60.1064604298722,-8.59413893427375,1
0.31,-83.3288590822971,-17.5968145726626,-17.8969890208223,-116.275403210876,-60.0028237620022,-8.31229442526261,1
0.32,-84.72301549766,-18.2965358739548,-18.1930480966423,-116.967192717604,-59.8753124585598,-8.02037861524007,1
0.33,-86.1446137881823,-19.0105726800821,-18.4920551585531,-117.652077059804,-59.7231036852307,-7.71799366689403,1
0.34,-87.5940342809981,-19.7399446575903,-18.794076107844,-118.329619736236,-59.545249627303,-7.40469240727941,1
0.35,-89.0717340343311,-20.4858087478568,-19.0991857344634,-118.99928213206,-59.3406546614658,-7.07996881901349,1
0.36,-90.5782653149134,-21.2494887985105,-19.407470114756,-119.660402981829,-59.1080463193545,-6.74324596647953,1
0.37,-92.1142998658156,-22.0325135400599,-19.7190297245507,-120.312172061786,-58.8459379123495,-6.39386047338273,1
0.38,-93.6806610940786,-22.8366659649759,-20.0339835319598,-120.953595997097,-58.5525797652583,-6.03104228646085,1
0.39,-95.2783672951734,-23.6640485800584,-20.3524744563764,-121.583453085036,-58.2258945923125,-5.65388787499501,1
0.4,-96.9086992782251,-24.5171534562287,-20.6746782681411,-122.200222230878,-57.8634011707791,-5.26132167860362,1
0.41,-98.5732391967234,-25.3990704320335,-21.0008062360761,-122.8020497719,-57.462038282903,-4.85205833765292,1
0.42,-100.274072327427,-26.3134850890972,-21.3311350673278,-123.386531879299,-57.0181107979628,-4.42450877315111,1
0.43,-102.013871454354,-27.2650941630108,-21.6660123007546,-123.950642186047,-56.5269254529443,-3.97670215105141,1
0.44,-103.796194799322,-28.2598915349118,-22.0058959947357,-124.490426097989,-55.9824834061924,-3.50612163598446,1
0.45,-105.62587813666,-29.3057607453474,-22.3514027464428,-125.000608819693,-55.376892363503,-3.00946863931948,1
0.46,-107.509694816636,-30.4134206823535,-22.7033893564075,-125.473934493012,-54.6994216939655,-2.48227197062898,1
0.47,-109.457514086912,-31.5980796149172,-23.0630959559608,-125.900007317466,-53.9348491864051,-1.91820424138021,1
0.48,-111.484509701636,-32.8825791113925,-23.4324185749229,-126.263082659384,-53.0603177577498,-1.30778266245848,1
0.49,-113.61588038375,-34.3040931824607,-23.8144910029181,-126.537346393412,-52.0386359277919,-0.635601064732035,1
0.5,-115.898835631273,-35.9310913649865,-24.215160555429,-126.674932764977,-50.8013288149425,0.126670120963065,1
0.51,-118.442867251697,-37.9201363029433,-24.6479398663717,-126.565644409273,-49.1918017844961,1.04374733801024,1
0.52,-121.690226672771,-40.89604887633,-25.167217121199,-125.766492892824,-46.5852463691086,2.37357679274666,1
0.525,-124.296939843508,-43.7448118922631,-25.5465061191694,-124.296940188015,-43.7448123759967,3.67409997396439,1

