1
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 9.94 62.73 0 -1.2)_mu=0_STABLE=0-100(seg=0.00).png,-65.129928,0.000000,17.208539,49.393033,0.000000,-8.112928
0,-53.2741125962414,1.97745449843304e-11,9.94378432431717,62.73074401171,-3.35436302960844e-11,-1.20258320500477,0
0.01,-53.4308679822229,-6.73672528177e-07,10.0312512492532,62.6339999545102,-1.34873624796153e-05,-1.29080502713007,0
0.02,-53.5870951529063,2.77873618561017e-11,10.1187515905783,62.5334761064102,-2.60188735418381e-11,-1.37878729619679,0
0.03,-53.7428072629777,2.7932089274199e-11,10.2062830589225,62.4293075785198,-2.08155884158035e-11,-1.46654800935175,0
0.04,-53.8980178405188,1.4795850535659e-06,10.2938441402752,62.3216188937742,-3.65691852158775e-05,-1.55409833278294,0
0.05,-54.052738417917,2.99302370067456e-11,10.3814291889432,62.2108012212129,-6.44740210994769e-11,-1.64143069046404,0
0.06,-54.2069819682229,3.85745915698827e-11,10.4690393186579,62.0967895372871,-1.32308216967592e-10,-1.72856867691539,0
0.07,-54.3607596532374,5.58297122072975e-11,10.5566713635421,61.9798062348832,-2.29876911275284e-10,-1.81551433239333,0
0.08,-54.5140824765915,8.28535409165215e-11,10.6443233817671,61.8599904783277,-3.50302730507852e-10,-1.90227455479463,0
0.09,-54.6669609752863,1.19121895235704e-10,10.7319935435174,61.737473159941,-4.83904153137087e-10,-1.98885585299082,0
0.1,-54.8194052382052,1.63509254124171e-10,10.8196801225806,61.6123775165568,-6.2222765474958e-10,-2.07526437371193,0
0.11,-54.9714249244548,2.13599087423017e-10,10.9073814886949,61.4848196909569,-7.57596779418519e-10,-2.16150592622989,0
0.12,-55.1230292813961,2.67637037327941e-10,10.9950961005776,61.3549092439594,-8.83700973345908e-10,-2.24758600504939,0
0.13,-55.2742271622661,3.23122110599251e-10,11.0828224995608,61.2227496222089,-9.96068321865108e-10,-2.3335098107915,0
0.14,-55.4250270433123,3.77821266387565e-10,11.1705593037745,61.0884385861365,-1.09184837092499e-09,-2.41928226943482,0
0.15,-55.5754370403888,4.30161146255127e-10,11.2583052028218,60.9520686020356,-1.1694389013883e-09,-2.50490805006372,0
0.16,-55.7254649249773,4.78393345218557e-10,11.3460589528966,60.8137272017604,-1.22824444443782e-09,-2.59039158125641,0
0.17,-55.8751181396107,5.21854290288471e-10,11.4338193723029,60.6734973131562,-1.26906810402191e-09,-2.67573706623357,0
0.18,-56.0244038126892,5.59474335368082e-10,11.5215853373343,60.5314575639992,-1.29263956095559e-09,-2.76094849687468,0
0.19,-56.1733287726857,5.90982954331001e-10,11.6093557784833,60.3876825619117,-1.30073348041115e-09,-2.8460296667009,0
0.2,-56.3218995617434,6.16156055605377e-10,11.6971296769468,60.2422431524692,-1.29473762947355e-09,-2.93098418291076,0
0.21,-56.4701224486771,6.35116802127022e-10,11.7849060614021,60.0952066574715,-1.27672255967738e-09,-3.01581547755008,0
0.22,-56.6180034413886,6.48024712287133e-10,11.8726840050286,59.9466370951552,-1.2487952800479e-09,-3.10052681788648,0
0.23,-56.7655482987129,6.55306657016484e-10,11.9604626227541,59.7965953839383,-1.21241864872647e-09,-3.18512131605463,0
0.24,-56.9127625417137,6.57348720078507e-10,12.0482410687048,59.6451395311313,-1.16929973464756e-09,-3.26960193803151,0
0.25,-57.0596514644452,6.54806759919433e-10,12.1360185338419,59.492324807903,-1.12126428561605e-09,-3.353971511995,0
0.26,-57.2062201442036,6.48305129820334e-10,12.2237942437698,59.3382039116681,-1.06960652906604e-09,-3.43823273611472,0
0.27,-57.3524734512847,6.38077885713127e-10,12.3115674566994,59.1828271169481,-1.01531439935479e-09,-3.52238818581995,0
0.28,-57.4984160582724,6.24960460125616e-10,12.3993374615557,59.0262424156551,-9.59851122114006e-10,-3.60644032058537,0
0.29,-57.644052448876,6.0906510657178e-10,12.4871035762169,58.8684956476609,-9.03537785294285e-10,-3.6903914902706,0
0.3,-57.7893869263377,5.91349484049158e-10,12.5748651458736,58.7096306224413,-8.47706794666089e-10,-3.77424394104883,0
0.31,-57.9344236214307,5.71823956598783e-10,12.6626215415007,58.5496892324915,-7.92803753114251e-10,-3.857999820954,0
0.32,-58.0791665000664,5.51428351207845e-10,12.7503721584302,58.3887115591721,-7.39180130990345e-10,-3.94166118507593,0
0.33,-58.2236193705309,5.29875343251938e-10,12.8381164150195,58.2267359715683,-6.87321418374042e-10,-4.02523000042848,0
0.34,-58.3677858903679,5.08000805632988e-10,12.9258537514067,58.0637992188961,-6.37525773491965e-10,-4.10870815051522,0
